"","row_id","id","sex","species","Status","date","time","date_time","temp","x","y","Habitat_type"
"1",1,"Africa","M","blandings","GPS",2018-06-14,"15:50:0",2018-06-14 15:50:00,NA,-64.1069250621367,806.013510625809,"Cattail"
"2",2,"Africa","M","blandings","Valid",2018-06-15,"14:30:0",2018-06-15 14:30:00,28.5,-92.6821250620997,834.066510626115,"Meadow marsh"
"3",3,"Africa","M","blandings","Valid",2018-06-15,"15:00:0",2018-06-15 15:00:00,33,-95.9575250621419,836.321510626003,"Meadow marsh"
"4",4,"Africa","M","blandings","Valid",2018-06-15,"15:30:0",2018-06-15 15:30:00,27.5,-91.8462250620942,835.16851062607,"Meadow marsh"
"5",5,"Africa","M","blandings","Valid",2018-06-15,"16:00:0",2018-06-15 16:00:00,26.5,-91.8462250620942,835.16851062607,"Meadow marsh"
"6",6,"Africa","M","blandings","Valid",2018-06-16,"16:00:1",2018-06-16 16:00:01,27.5,-92.6141250621295,840.729510625824,"Meadow marsh"
"7",7,"Africa","M","blandings","Valid",2018-06-16,"16:30:0",2018-06-16 16:30:00,27,-91.8009250620962,839.610510625876,"Meadow marsh"
"8",8,"Africa","M","blandings","Valid",2018-06-19,"16:00:0",2018-06-19 16:00:00,24,-97.9804250621237,799.696510626003,"Phragmites"
"9",9,"Africa","M","blandings","Valid",2018-06-19,"16:30:1",2018-06-19 16:30:01,27,-95.5522250620998,795.229510625824,"Cattail"
"10",10,"Africa","M","blandings","Valid",2018-06-19,"17:00:0",2018-06-19 17:00:00,28,-94.6597250621417,801.883510625921,"Open water"
"11",11,"Africa","M","blandings","Valid",2018-06-19,"17:30:0",2018-06-19 17:30:00,25,-90.5484250620939,800.730510625988,"Open water"
"12",12,"Africa","M","blandings","Valid",2018-06-20,"20:30:1",2018-06-20 20:30:01,23.5,-64.7276250621071,826.008510625921,"Meadow marsh"
"13",13,"Africa","M","blandings","Valid",2018-06-21,"16:30:0",2018-06-21 16:30:00,26.5,-59.216425062099,800.411510625854,"Cattail"
"14",14,"Africa","M","blandings","Valid",2018-06-21,"20:00:0",2018-06-21 20:00:00,30,-60.7749250621418,809.311510626227,"Cattail"
"15",15,"Africa","M","blandings","GPS",2018-06-25,"20:58:0",2018-06-25 20:58:00,NA,7.6972749378765,974.073510626331,"Meadow marsh"
"16",16,"Akward","M","spotted","Valid",2018-05-02,"23:00:0",2018-05-02 23:00:00,18,-53.8070250620949,764.821510626003,"Cattail"
"17",17,"Akward","M","spotted","Valid",2018-05-02,"22:00:0",2018-05-02 22:00:00,18.5,-47.2334250620916,762.533510626294,"Meadow marsh"
"18",18,"Akward","M","spotted","GPS",2018-05-02,"20:25:0",2018-05-02 20:25:00,NA,-44.7938250621082,759.17651062645,"Cattail"
"19",19,"Akward","M","spotted","Valid",2018-05-02,"21:00:0",2018-05-02 21:00:00,20,-37.2938250621082,766.873510626145,"Phragmites"
"20",20,"Akward","M","spotted","Valid",2018-05-03,"12:00:0",2018-05-03 12:00:00,10.5,-48.0014250621316,768.093510625884,"Cattail"
